cat,yields,proc
UntaggedTag_0,0.07928490972619784,GGF
UntaggedTag_0,0.0782750795034417,GGFPLUSINT
UntaggedTag_0,0.02108867110518986,VBF
UntaggedTag_0,0.0276156269344483,vh
UntaggedTag_1,1.0031280027587002,GGF
UntaggedTag_1,0.9447335451704078,GGFPLUSINT
UntaggedTag_1,0.24308765988394043,VBF
UntaggedTag_1,0.2329630439317043,vh
UntaggedTag_2,0.6323406863039054,GGF
UntaggedTag_2,0.6025670671979242,GGFPLUSINT
UntaggedTag_2,0.0990020740049431,VBF
UntaggedTag_2,0.06808330046374067,vh
UntaggedTag_3,2.617488253959891,GGF
UntaggedTag_3,2.3065982061671093,GGFPLUSINT
UntaggedTag_3,0.3421984210250457,VBF
UntaggedTag_3,0.2498946978805634,vh
UntaggedTag_4,0.6021517287499591,GGF
UntaggedTag_4,0.5635912472407654,GGFPLUSINT
UntaggedTag_4,0.04420685751995279,VBF
UntaggedTag_4,0.027295612693251314,vh
UntaggedTag_5,3.8600874878275135,GGF
UntaggedTag_5,3.5824431454175283,GGFPLUSINT
UntaggedTag_5,0.2690756093160189,VBF
UntaggedTag_5,0.17904079397249006,vh
UntaggedTag_6,0.8948005379270398,GGF
UntaggedTag_6,0.8360828201539334,GGFPLUSINT
UntaggedTag_6,0.028491669202139747,VBF
UntaggedTag_6,0.016190796431828858,vh
UntaggedTag_7,5.0677026593148184,GGF
UntaggedTag_7,4.727131548426769,GGFPLUSINT
UntaggedTag_7,0.1681060742344016,VBF
UntaggedTag_7,0.11520227610594702,vh
UntaggedTag_8,0.8470359290504348,GGF
UntaggedTag_8,0.8239349779787517,GGFPLUSINT
UntaggedTag_8,0.012585082845362194,VBF
UntaggedTag_8,0.00684012539431933,vh
UntaggedTag_9,5.769613705670054,GGF
UntaggedTag_9,5.516947408863416,GGFPLUSINT
UntaggedTag_9,0.08898182227835605,VBF
UntaggedTag_9,0.06121820779776499,vh
VBFTag_0,5.710405745534096,GGF
VBFTag_0,5.699405176277303,GGFPLUSINT
VBFTag_0,1.9148173776134172,VBF
VBFTag_0,0.5298313542425603,vh
