cat,a1_err,n1_err
UntaggedTag_0,0.4798,0.2872
UntaggedTag_1,0.0707,5.3816
UntaggedTag_2,0.4232,47.1545
UntaggedTag_3,0.1631,7.5184
UntaggedTag_4,0.4085,28.5582
UntaggedTag_5,0.104,4.2313
UntaggedTag_6,0.1334,3.0759
UntaggedTag_7,0.1175,9.4959
UntaggedTag_8,0.3015,0.0061
UntaggedTag_9,0.0049,46.9843
VBFTag_0,0.0167,2.1964
