cat,a1_err,n1_err
UntaggedTag_0,0.3971,15.1923
UntaggedTag_1,0.8914,2.3542
UntaggedTag_2,0.0743,18.2475
UntaggedTag_3,0.2184,42.1312
UntaggedTag_4,0.5056,3.3832
UntaggedTag_5,0.0563,8.4688
UntaggedTag_6,0.1821,6.4867
UntaggedTag_7,0.0622,34.705
UntaggedTag_8,0.3324,0.0
UntaggedTag_9,0.2691,47.3125
VBFTag_0,0.0554,0.312
