cat,a1_err,n1_err
UntaggedTag_0,0.0555,3.7451
UntaggedTag_1,0.0661,8.8689
UntaggedTag_2,0.0675,1.7795
UntaggedTag_3,0.1029,1.588
UntaggedTag_4,0.0705,1.1948
UntaggedTag_5,0.0746,1.2115
UntaggedTag_6,0.0499,2.5406
UntaggedTag_7,0.0709,2.3617
UntaggedTag_8,0.0425,19.0166
UntaggedTag_9,0.0229,2.6775
VBFTag_0,0.0197,0.677
