cat,a1_err,n1_err
UntaggedTag_0,0.0831,14.0557
UntaggedTag_1,0.1512,6.698
UntaggedTag_2,0.1433,24.7597
UntaggedTag_3,0.2288,9.4675
UntaggedTag_4,0.1612,8.8282
UntaggedTag_5,0.1915,9.29
UntaggedTag_6,0.1116,38.4252
UntaggedTag_7,0.1756,20.1664
UntaggedTag_8,0.1149,32.4466
UntaggedTag_9,0.0766,44.2135
VBFTag_0,0.0128,1.3326
