cat,a1,n1
UntaggedTag_0,0.875467,6.76697
UntaggedTag_1,0.783772,9.78887
UntaggedTag_2,0.89354,10.2729
UntaggedTag_3,0.885071,8.48117
UntaggedTag_4,0.874953,10.5174
UntaggedTag_5,0.884436,7.66577
UntaggedTag_6,0.610447,49.9994
UntaggedTag_7,0.792628,49.6926
UntaggedTag_8,0.906298,3.86013
UntaggedTag_9,0.455756,50.0015
VBFTag_0,0.731467,8.19141
