cat,a1,n1
UntaggedTag_0,0.856653,5.68067
UntaggedTag_1,0.774549,11.0638
UntaggedTag_2,0.869265,6.18046
UntaggedTag_3,0.686395,49.9999
UntaggedTag_4,1.07498,4.08373
UntaggedTag_5,0.817319,6.95096
UntaggedTag_6,1.12812,49.9955
UntaggedTag_7,0.606407,49.9996
UntaggedTag_8,0.658152,24.6976
UntaggedTag_9,0.811083,10.0501
VBFTag_0,0.811578,7.36487
