cat,a1,n1
UntaggedTag_0,0.731886,10.6212
UntaggedTag_1,0.848612,11.1201
UntaggedTag_2,0.871795,26.1367
UntaggedTag_3,1.14459,3.73327
UntaggedTag_4,0.824271,7.33959
UntaggedTag_5,0.722928,49.8638
UntaggedTag_6,0.801543,49.9832
UntaggedTag_7,0.950573,7.56176
UntaggedTag_8,0.813829,5.82731
UntaggedTag_9,0.89333,44.5907
VBFTag_0,0.74233,11.1399
