cat,a1,n1
UntaggedTag_0,0.907926,21.4995
UntaggedTag_1,1.00994,18.4603
UntaggedTag_2,1.24177,20.2777
UntaggedTag_3,0.949454,17.2577
UntaggedTag_4,0.87565,22.1272
UntaggedTag_5,0.834101,19.9234
UntaggedTag_6,0.821805,23.7803
UntaggedTag_7,0.890406,19.4334
UntaggedTag_8,1.03376,19.008
UntaggedTag_9,0.778972,23.1286
VBFTag_0,0.896099,20.0528
UntaggedTag_0,
UntaggedTag_1,
UntaggedTag_2,
UntaggedTag_3,
UntaggedTag_4,
UntaggedTag_5,
UntaggedTag_6,
UntaggedTag_7,
UntaggedTag_8,
UntaggedTag_9,
VBFTag_0,
UntaggedTag_0_2017,
UntaggedTag_1_2017,
UntaggedTag_2_2017,
UntaggedTag_3_2017,
UntaggedTag_4_2017,
UntaggedTag_0,0.875467,6.76697
UntaggedTag_1,0.783772,9.78887
UntaggedTag_2,0.89354,10.2729
UntaggedTag_3,0.885071,8.48117
UntaggedTag_4,0.874953,10.5174
UntaggedTag_5,0.884436,7.66577
UntaggedTag_6,0.610447,49.9994
UntaggedTag_7,0.792628,49.6926
UntaggedTag_8,0.906298,3.86013
UntaggedTag_9,0.455756,50.0015
VBFTag_0,0.731467,8.19141
