cat,a1,n1
UntaggedTag_0,0.987234,16.537
UntaggedTag_1,0.949725,23.658
UntaggedTag_2,1.18866,10.8292
UntaggedTag_3,0.927609,50.0027
UntaggedTag_4,0.965468,49.7896
UntaggedTag_5,0.766564,50
UntaggedTag_6,1.1927,5.06031
UntaggedTag_7,0.990341,8.71523
UntaggedTag_8,1.33621,4.22133
UntaggedTag_9,1.00658,49.9832
VBFTag_0,0.887415,8.48047
