cat,a1_err,n1_err
UntaggedTag_0,0.0704,3.3808
UntaggedTag_1,0.2221,6.5642
UntaggedTag_2,0.5807,2.8832
UntaggedTag_3,0.1317,6.8519
UntaggedTag_4,0.2996,12.5926
UntaggedTag_5,0.2925,2.0181
UntaggedTag_6,0.0936,31.058
UntaggedTag_7,0.1339,43.546
UntaggedTag_8,0.1681,42.3859
UntaggedTag_9,0.1414,15.3437
VBFTag_0,0.0238,3.472
